Index,Date,Cases
1,30-Jan-20,1
2,01-Feb-20,1
3,02-Feb-20,2
4,03-Feb-20,3
5,02-Mar-20,5
6,03-Mar-20,6
7,04-Mar-20,28
8,05-Mar-20,30
9,06-Mar-20,31
10,07-Mar-20,34
11,08-Mar-20,39
12,09-Mar-20,44
13,10-Mar-20,50
14,11-Mar-20,60
15,12-Mar-20,73
16,13-Mar-20,81
17,14-Mar-20,97
18,15-Mar-20,107
19,16-Mar-20,118
20,17-Mar-20,137
21,18-Mar-20,151
22,19-Mar-20,173
23,20-Mar-20,223
24,21-Mar-20,283
25,22-Mar-20,360
26,23-Mar-20,434
27,24-Mar-20,519
28,25-Mar-20,606
29,26-Mar-20,694
30,27-Mar-20,834
31,28-Mar-20,918
32,29-Mar-20,1024
33,30-Mar-20,1251
34,31-Mar-20,1397
35,01-Apr-20,1834
36,02-Apr-20,2069
37,03-Apr-20,2547
38,04-Apr-20,3072
39,05-Apr-20,3577
40,06-Apr-20,4281
41,07-Apr-20,4789
42,08-Apr-20,5274
43,09-Apr-20,5865
44,10-Apr-20,6761
45,11-Apr-20,7529
46,12-Apr-20,8447
47,13-Apr-20,9352
48,14-Apr-20,10815
49,15-Apr-20,11933
50,16-Apr-20,12759
51,17-Apr-20,13835
52,18-Apr-20,14792
53,19-Apr-20,16116
54,20-Apr-20,17656
55,21-Apr-20,18985
56,22-Apr-20,20471
57,23-Apr-20,21700
58,24-Apr-20,23452
59,25-Apr-20,24942
60,26-Apr-20,26917
61,27-Apr-20,28380
62,28-Apr-20,29974
63,29-Apr-20,31787
64,30-Apr-20,33610
65,01-May-20,35365
66,02-May-20,37776
67,03-May-20,40263
